method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_records
rwaretiny_rware_rware-tiny-2ag-v2_baseline,3,0.0,0.003,0.0006208333333333333,0.003,0.0,0.0,
rwaretiny_rware_rware-tiny-2ag-v2_baseline,4,0.0,0.0,0.0,0.0,0.0,0.0,
rwaretiny_rware_rware-tiny-2ag-v2_baseline,5,0.0,0.0,0.0,0.0,0.0,0.0,
rwaretiny_rware_rware-tiny-2ag-v2_diagnosis_only,1,0.0,0.0004,8.333333333333333e-05,0.0004,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_diagnosis_only,2,0.0,0.0015,0.00037500000000000006,0.0015,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_diagnosis_only,3,0.0,0.003,0.0006208333333333333,0.003,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_diagnosis_only,4,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_diagnosis_only,5,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_random_type_budget_matched_0.0003_late045,1,0.0,0.001,0.0002791666666666667,0.001,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_random_type_budget_matched_0.0003_late045,2,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_random_type_budget_matched_0.0003_late045,3,0.0,0.0016,0.0003333333333333333,0.0016,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_random_type_budget_matched_0.0003_late045,4,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_random_type_budget_matched_0.0003_late045,5,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_semantic_shuffled_budget_matched_0.0003_late045,1,0.0,0.002,0.00032083333333333334,0.002,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_semantic_shuffled_budget_matched_0.0003_late045,2,0.0,0.002,0.0005541666666666667,0.002,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_semantic_shuffled_budget_matched_0.0003_late045,3,0.0,0.0016,0.00038333333333333324,0.0016,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_semantic_shuffled_budget_matched_0.0003_late045,4,0.0,0.0004,6.666666666666667e-05,0.0004,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_semantic_shuffled_budget_matched_0.0003_late045,5,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_uniform_budget_matched_0.0003_late045,1,0.0,0.0008,0.00018333333333333334,0.0008,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_uniform_budget_matched_0.0003_late045,2,0.0,0.002,0.0005291666666666666,0.002,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_uniform_budget_matched_0.0003_late045,3,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_uniform_budget_matched_0.0003_late045,4,0.0,0.0004,8.333333333333333e-05,0.0004,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_uniform_budget_matched_0.0003_late045,5,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
vmasnav_vmas-navigation_adaptive_0.0003_late045,1,6.8194,11.7573,4.59544090909091,4.937900000000001,6.8194,6.8194,1410.8
vmasnav_vmas-navigation_adaptive_0.0003_late045,2,7.6043,11.6948,5.435713636363636,4.0905000000000005,7.6043,7.6043,1402.8
vmasnav_vmas-navigation_adaptive_0.0003_late045,3,7.068,11.647,4.978300000000001,4.579000000000001,7.068,7.068,1394.0
vmasnav_vmas-navigation_adaptive_0.0003_late045,4,5.9864,11.1478,4.233481818181819,5.1614,5.9864,5.9864,1385.6
vmasnav_vmas-navigation_adaptive_0.0003_late045,5,6.771,11.7222,4.547954545454545,4.951200000000001,6.771,6.771,1395.6
vmasnav_vmas-navigation_baseline,1,7.2031,11.9272,4.755713636363637,4.724099999999999,7.2031,7.2031,
vmasnav_vmas-navigation_baseline,2,7.1555,11.6409,5.420804545454546,4.4854,7.1555,7.1555,
vmasnav_vmas-navigation_baseline,3,7.5732,11.6297,5.21769090909091,4.0565,7.5732,7.5732,
vmasnav_vmas-navigation_baseline,4,5.1275,11.8394,4.6871363636363625,6.711899999999999,5.1275,5.1275,
vmasnav_vmas-navigation_baseline,5,7.0116,11.901,4.583072727272728,4.8894,7.0116,7.0116,
vmasnav_vmas-navigation_diagnosis_only,1,7.2031,11.9272,4.755713636363637,4.724099999999999,7.2031,7.2031,1406.2
vmasnav_vmas-navigation_diagnosis_only,2,7.1555,11.6409,5.420804545454546,4.4854,7.1555,7.1555,1411.8
vmasnav_vmas-navigation_diagnosis_only,3,7.5732,11.6297,5.21769090909091,4.0565,7.5732,7.5732,1396.6
vmasnav_vmas-navigation_diagnosis_only,4,5.1275,11.8394,4.6871363636363625,6.711899999999999,5.1275,5.1275,1408.6
vmasnav_vmas-navigation_diagnosis_only,5,7.0116,11.901,4.583072727272728,4.8894,7.0116,7.0116,1402.2
vmasnav_vmas-navigation_random_type_budget_matched_0.0003_late045,1,7.597,11.8323,5.035954545454545,4.2353,7.597,7.597,1404.6
vmasnav_vmas-navigation_random_type_budget_matched_0.0003_late045,2,7.5874,11.9969,5.696568181818183,4.4095,7.5874,7.5874,1412.2
vmasnav_vmas-navigation_random_type_budget_matched_0.0003_late045,3,8.2885,11.5702,5.382363636363636,3.281699999999999,8.2885,8.2885,1397.2
vmasnav_vmas-navigation_random_type_budget_matched_0.0003_late045,4,7.3631,11.7645,4.946509090909091,4.4014,7.3631,7.3631,1380.4
vmasnav_vmas-navigation_random_type_budget_matched_0.0003_late045,5,7.9366,11.5763,4.915836363636364,3.6396999999999995,7.9366,7.9366,1391.6
vmasnav_vmas-navigation_uniform_budget_matched_0.0003_late045,1,7.894,11.7473,5.0404,3.853299999999999,7.894,7.894,1397.6
vmasnav_vmas-navigation_uniform_budget_matched_0.0003_late045,2,8.339,11.7429,5.756677272727273,3.4039,8.339,8.339,1413.4
vmasnav_vmas-navigation_uniform_budget_matched_0.0003_late045,3,6.3824,11.6205,4.699277272727273,5.2381,6.3824,6.3824,1383.8
vmasnav_vmas-navigation_uniform_budget_matched_0.0003_late045,4,6.1523,11.3217,4.58445909090909,5.1693999999999996,6.1523,6.1523,1374.0
vmasnav_vmas-navigation_uniform_budget_matched_0.0003_late045,5,6.523,11.6058,4.38045,5.082800000000001,6.523,6.523,1391.0
